CO/hr,C6H6-micgr/m3/hr,NMHC/hr,NOx-ppb/hr,NOx/hr,NO2-micgr/m3/hr,NO2/hr,O3/hr,temperatura°C,umidade_relativa,umidade_absoluta,dia_semana,hour,one-hot__dia_semana_0.0,one-hot__dia_semana_1.0,one-hot__dia_semana_2.0,one-hot__dia_semana_3.0,one-hot__dia_semana_4.0,one-hot__dia_semana_5.0,one-hot__dia_semana_6.0,one-hot__hour_0.0,one-hot__hour_1.0,one-hot__hour_2.0,one-hot__hour_4.0,one-hot__hour_5.0,one-hot__hour_6.0,one-hot__hour_7.0,one-hot__hour_8.0,one-hot__hour_9.0,one-hot__hour_10.0,one-hot__hour_11.0,one-hot__hour_12.0,one-hot__hour_13.0,one-hot__hour_14.0,one-hot__hour_15.0,one-hot__hour_16.0,one-hot__hour_17.0,one-hot__hour_18.0,one-hot__hour_19.0,one-hot__hour_20.0,one-hot__hour_21.0,one-hot__hour_22.0,one-hot__hour_23.0,minmax__CO/hr,minmax__C6H6-micgr/m3/hr,minmax__NMHC/hr,minmax__NOx-ppb/hr,minmax__NOx/hr,minmax__NO2-micgr/m3/hr,minmax__NO2/hr,minmax__O3/hr,minmax__temperatura°C,minmax__umidade_relativa,minmax__umidade_absoluta,cluster
1473.0,14.3,1127.0,224.0,831.0,152.0,1752.0,1568.0,20.8,34.4,0.8365,3.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979343863912515,0.6238532110091742,0.7360801781737193,0.4134078212290503,0.4605714285714286,0.704225352112676,0.6630184331797235,0.8373333333333333,0.501103752759382,0.3169811320754717,0.3265694674081868,0
1379.0,12.5,1068.0,171.0,899.0,139.0,1663.0,1374.0,23.8,28.2,0.8219,3.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8651275820170109,0.5412844036697246,0.6703786191536748,0.3147113594040968,0.5382857142857145,0.6431924882629108,0.6117511520737327,0.708,0.5673289183222958,0.2389937106918239,0.3192544716669172,0
1385.0,12.2,1056.0,149.0,891.0,133.0,1648.0,1268.0,24.2,28.7,0.8515,3.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8724179829890643,0.5275229357798163,0.6570155902004454,0.2737430167597765,0.5291428571428574,0.6150234741784038,0.603110599078341,0.6373333333333333,0.576158940397351,0.2452830188679245,0.3340848739916829,0
1379.0,13.1,1087.0,137.0,901.0,126.0,1660.0,1144.0,25.2,24.9,0.7829,3.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8651275820170109,0.5688073394495412,0.6915367483296214,0.2513966480446927,0.5405714285714287,0.5821596244131455,0.6100230414746544,0.5546666666666666,0.598233995584989,0.1974842767295597,0.2997144145498271,0
1322.0,14.4,1129.0,149.0,934.0,128.0,1639.0,1109.0,27.0,17.8,0.6275,3.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795868772782503,0.628440366972477,0.7383073496659242,0.2737430167597765,0.5782857142857145,0.5915492957746479,0.5979262672811061,0.5313333333333333,0.6379690949227373,0.1081761006289308,0.2218548023448068,0
1409.0,14.5,1131.0,166.0,873.0,149.0,1689.0,1206.0,25.8,23.9,0.7832,3.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901579586877278,0.6330275229357797,0.7405345211581292,0.3054003724394786,0.5085714285714287,0.6901408450704225,0.6267281105990783,0.596,0.6114790286975718,0.1849056603773584,0.299864722681497,0
1430.0,14.1,1121.0,178.0,814.0,135.0,1732.0,1322.0,16.0,48.4,0.8768,3.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9270959902794652,0.6146788990825687,0.7293986636971047,0.3277467411545623,0.4411428571428572,0.6244131455399061,0.6514976958525345,0.6733333333333333,0.3951434878587196,0.4930817610062893,0.3467608597625132,0
1333.0,10.3,989.0,129.0,885.0,121.0,1621.0,1194.0,14.5,57.8,0.9456,3.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8092345078979343,0.4403669724770642,0.5824053452115813,0.2364990689013035,0.5222857142857145,0.5586854460093896,0.5875576036866359,0.588,0.3620309050772627,0.6113207547169811,0.3812315246254822,0
1262.0,8.3,911.0,95.0,948.0,99.0,1545.0,1062.0,13.1,64.2,0.9606,3.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7229647630619683,0.3486238532110092,0.4955456570155901,0.1731843575418994,0.5942857142857143,0.4553990610328638,0.5437788018433181,0.5,0.3311258278145695,0.6918238993710693,0.3887469312089784,0
1287.0,8.9,936.0,126.0,918.0,106.0,1606.0,1040.0,12.0,69.7,0.9735,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533414337788576,0.3761467889908257,0.5233853006681514,0.2309124767225326,0.56,0.488262910798122,0.5789170506912442,0.4853333333333334,0.3068432671081678,0.7610062893081763,0.3952101808707851,0
1134.0,6.6,840.0,103.0,1021.0,96.0,1501.0,917.0,11.9,71.1,0.9915,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5674362089914945,0.2706422018348624,0.4164810690423162,0.1880819366852886,0.6777142857142859,0.4413145539906103,0.5184331797235022,0.4033333333333333,0.304635761589404,0.7786163522012579,0.4042286687709805,1
999.0,3.6,688.0,48.0,1229.0,63.0,1380.0,594.0,12.5,69.3,1.0029,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4034021871202916,0.1330275229357798,0.2472160356347438,0.0856610800744879,0.9154285714285716,0.2863849765258215,0.4487327188940092,0.1879999999999999,0.3178807947019867,0.7559748427672957,0.4099403777744376,1
1182.0,6.7,845.0,115.0,1054.0,99.0,1539.0,704.0,12.4,64.9,0.9332,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625759416767922,0.2752293577981651,0.4220489977728284,0.2104283054003724,0.7154285714285715,0.4553990610328638,0.5403225806451613,0.2613333333333333,0.3156732891832229,0.7006289308176102,0.3750187885164587,1
1427.0,19.2,1275.0,253.0,701.0,149.0,1980.0,1398.0,13.9,57.1,0.9032,4.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9234507897934384,0.8486238532110091,0.9008908685968818,0.4674115456238361,0.312,0.6901408450704225,0.7943548387096775,0.724,0.3487858719646799,0.6025157232704403,0.3599879753494664,0
1390.0,16.4,1191.0,218.0,759.0,135.0,1879.0,1268.0,14.5,54.4,0.8917,4.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8784933171324422,0.7201834862385319,0.8073496659242761,0.4022346368715084,0.3782857142857144,0.6244131455399061,0.7361751152073734,0.6373333333333333,0.3620309050772627,0.568553459119497,0.3542261636354527,0
1283.0,14.0,1117.0,192.0,813.0,127.0,1751.0,1188.0,15.5,50.1,0.8744,4.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7484811664641554,0.610091743119266,0.7249443207126948,0.3538175046554935,0.44,0.5868544600938967,0.6624423963133641,0.584,0.3841059602649007,0.5144654088050316,0.3455583947091537,0
1304.0,15.3,1157.0,176.0,793.0,122.0,1801.0,1171.0,16.1,47.6,0.8655,4.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7739975698663425,0.6697247706422018,0.7694877505567929,0.3240223463687151,0.4171428571428572,0.5633802816901409,0.6912442396313365,0.5726666666666667,0.3973509933774835,0.4830188679245284,0.3410992534696127,0
1364.0,16.7,1202.0,198.0,771.0,135.0,1875.0,1250.0,16.3,47.1,0.864,4.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8469015795868772,0.7339449541284402,0.8195991091314031,0.3649906890130354,0.392,0.6244131455399061,0.7338709677419355,0.6253333333333333,0.4017660044150111,0.4767295597484278,0.3403477128112631,0
1410.0,19.0,1268.0,212.0,724.0,139.0,1957.0,1344.0,16.4,47.5,0.8791,4.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9027946537059538,0.8394495412844035,0.8930957683741648,0.3910614525139664,0.3382857142857143,0.6431924882629108,0.7811059907834101,0.6880000000000001,0.4039735099337748,0.4817610062893082,0.3479132221053159,0
1476.0,19.4,1280.0,249.0,708.0,147.0,1955.0,1378.0,16.1,50.2,0.9094,4.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9829890643985418,0.8577981651376145,0.9064587973273942,0.4599627560521415,0.32,0.6807511737089201,0.7799539170506913,0.7106666666666667,0.3973509933774835,0.5157232704402517,0.3630943434039781,0
1442.0,20.2,1301.0,231.0,704.0,146.0,1952.0,1372.0,15.8,50.3,0.8989,4.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.941676792223572,0.8944954128440366,0.9298440979955456,0.4264432029795158,0.3154285714285714,0.676056338028169,0.778225806451613,0.7066666666666667,0.3907284768211921,0.5169811320754717,0.3578335587955308,0
1469.0,21.7,1344.0,251.0,677.0,144.0,1997.0,1471.0,15.5,50.6,0.884,4.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9744835965978128,0.963302752293578,0.9777282850779508,0.4636871508379888,0.2845714285714286,0.6666666666666666,0.804147465437788,0.7726666666666667,0.3841059602649007,0.5207547169811322,0.3503682549225913,0
1467.0,19.8,1292.0,210.0,698.0,138.0,1942.0,1439.0,15.4,51.4,0.8956,4.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9720534629404616,0.8761467889908257,0.9198218262806236,0.3873370577281191,0.3085714285714286,0.6384976525821596,0.7724654377880185,0.7513333333333333,0.3818984547461369,0.5308176100628931,0.3561801693471617,0
1421.0,16.7,1202.0,249.0,748.0,143.0,1854.0,1429.0,15.2,53.1,0.9117,4.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9161603888213852,0.7339449541284402,0.8195991091314031,0.4599627560521415,0.3657142857142857,0.6619718309859155,0.7217741935483872,0.7446666666666667,0.3774834437086092,0.5522012578616353,0.3642467057467808,0
1175.0,9.1,945.0,143.0,904.0,116.0,1604.0,1081.0,14.7,57.6,0.9573,4.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.617253948967193,0.3853211009174311,0.5334075723830735,0.2625698324022346,0.544,0.5352112676056338,0.5777649769585254,0.5126666666666667,0.3664459161147902,0.608805031446541,0.3870935417606093,0
1215.0,8.3,912.0,127.0,948.0,109.0,1547.0,993.0,14.2,58.3,0.938,4.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6658566221142163,0.3486238532110092,0.4966592427616926,0.2327746741154562,0.5942857142857143,0.5023474178403756,0.5449308755760369,0.454,0.3554083885209713,0.6176100628930817,0.3774237186231775,0
1127.0,5.8,802.0,104.0,1064.0,92.0,1447.0,837.0,13.8,57.9,0.9085,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5589307411907655,0.2339449541284403,0.3741648106904232,0.1899441340782122,0.7268571428571431,0.4225352112676056,0.4873271889400921,0.35,0.3465783664459161,0.6125786163522013,0.3626434190089684,1
1090.0,5.2,773.0,86.0,1105.0,83.0,1429.0,761.0,13.9,55.9,0.8842,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513973268529769,0.2064220183486238,0.341870824053452,0.1564245810055866,0.7737142857142858,0.380281690140845,0.4769585253456221,0.2993333333333333,0.3487858719646799,0.5874213836477988,0.3504684603437046,1
1017.0,4.1,718.0,74.0,1182.0,81.0,1382.0,650.0,13.9,55.6,0.8765,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4252733900364519,0.1559633027522935,0.2806236080178174,0.1340782122905028,0.8617142857142859,0.3708920187793427,0.4498847926267281,0.2253333333333333,0.3487858719646799,0.5836477987421385,0.3466105516308432,1
956.0,3.1,661.0,42.0,1260.0,53.0,1351.0,518.0,13.6,55.1,0.856,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3511543134872418,0.110091743119266,0.2171492204899776,0.074487895716946,0.9508571428571432,0.2394366197183098,0.4320276497695852,0.1373333333333333,0.3421633554083885,0.5773584905660378,0.3363394959667318,1
